Characteristic,Score,FullLevel,Level,LevelEnds,Detailed
8a,3,Based on Comparative\n Advantage Occasionally,Based on comp. adv. occas.,,
8a,4,Based on Comparative\nAdvantage more than Occasionally ,Based on comp. adv. more than occas. ,,
8a,5,Often Took Into Account\nComparative Advantage,Often took Into account comp. adv.,,
8a,6,Always based on\ncomparative advantage,Always based on comp. adv.,Always\nbased\non comp.\nadv.,Workshare distribution was always based on comparative advantage.
8b,1,Never Based on Political\nor Industrial-Base Goals,Never based on pol. or ind.-base goals,Never based on\npol. or ind.-base goals,Workshare distribution was never based on political or industrial-base goals 
8b,2,Slightly based on political\nor industrial-base goals,Slightly based on pol. or ind.-base goals,,
8b,3,Based on Political or\nIndustrial-base Goals Occasionally,Based on pol. or ind.-base goals occas.,,
8b,4,Based on Political or\nIndustrial-Base Goals More Than Occasionally,Based on pol. or ind.-base goals more than occas.,,
8b,5,Often Takes Into Account\nPolitical or Industrial-Base Goals,Often takes Into account pol. or ind.-base goals,,
8b,6,Always Based On Political\nor Industrial-Base Goals,Always based On pol. or ind.-base goals,Always based on\npol. or  ind.-base goals,Workshare distribution was always based on political or industrial-base goals.
